1,a,"<ul>
<li>Refer the teacher to the explanation of how to create a web of investigations in Volume 1: The Foundation of The Creative Curriculum&reg; for Preschool</li>
<li>Show the explanation and sample web of investigations in the &ldquo;Getting Started&rdquo; section of the Teaching Guide that is being implemented. Help the teacher get started by brainstorming together to generate a few new ideas to add to the web.&nbsp; &nbsp;</li>
<li>Draw the teacher&rsquo;s attention to the &ldquo;Background Information for Teachers&rdquo; section of the current Teaching Guide. Point out that a basic understanding of the study topic will help him respond to children as they investigate and ask questions.</li>
<li>Review the &ldquo;Our Investigation&rdquo; section of the current Teaching Guide. Point out the connection between the web of investigations and the opportunity for the children themselves to create one or more investigations related to the study topic.</li>
<li>Together, go over the web of investigations from a previous study. Talk about which questions were answered over the course of the study. Encourage the teacher to highlight or circle the ideas that the children have explored.</li>
</ul>"
1,b,"<ul>
<li>Review &ldquo;Introducing the Topic&rdquo; in the &ldquo;Beginning the Study&rdquo; section of the current Teaching Guide. Point out the suggested questions to ask children as they explore the growing collection of items.</li>
<li>Together, brainstorm for additional prompts and open-ended questions that will help the teacher determine what the children already know about the topic and what they want to find out. Refer to &ldquo;Using a Range of Teaching Strategies&rdquo; in Volume 1 to spark a discussion about which types of questions and prompts will extend children&rsquo;s thinking during the study.</li>
<li>Model discussing a topic with children and recording their responses.</li>
</ul>"
1,c,"<ul>
<li>Share your classroom observations with the teacher and discuss opportunities (e.g., &ldquo;I heard Raul ask whether any trees have purple leaves. How can we reflect that on the chart? How might we be able to find an answer to his question?&rdquo;).</li>
<li>Model helping children formulate questions. Explain to the teacher that younger children and those with limited experience asking questions may not be comfortable with the process.</li>
<li>Model conversing with and observing children to find out what they already know about the study topic and recording their ideas on a chart. Suggest saying &ldquo;That&rsquo;s a good question! Let&rsquo;s add it to our list of what we want to find out&rdquo; to help children understand the concept of a question.</li>
<li>Notice whether the teacher records children&rsquo;s questions throughout the day and continually updates the chart.</li>
<li>Ask the teacher, &ldquo;As you went through the process of determining what children know and want to find out, what did you learn about children&rsquo;s thinking and misconceptions? How did you help children construct understandings about the topic?&rdquo;</li>
</ul>"
1,d,"<ul>
<li>Review the &ldquo;Communicating With Families&rdquo; section in Volume and talk about why it is important to include families as partners in their children&rsquo;s development and learning.</li>
<li>Encourage the teacher to send home a survey at the beginning of the year to learn more about the talents, interests, and occupations of the families in the program. Discuss the surveys with the teacher to identify ways in which family members can participate in the study.</li>
<li>Go over the English and Spanish letters to families in the &ldquo;Getting Started&rdquo; section of the current Teaching Guide. Point out that the teacher can customize the letters, which can be found on&nbsp;MyTeachingStrategies&reg;&nbsp;Library.</li>
<li>Brainstorm formal and informal ways to communicate with families about the current study (e.g., newsletters, bulletin boards, email blasts, a class website, The Family App).</li>
<li>As you review the Weekly Plan together, brainstorm ways to involve children&rsquo;s families and community resources in the study.</li>
<li>Role-play a discussion in which the teacher describes the current study and talks with a child&rsquo;s family member about what the child is learning.</li>
<li>Model explaining to families how and what children learn by investigating topics firsthand.</li>
<li>Brainstorm for ideas to involve families meaningfully in the study. Review the &ldquo;Web of Investigations&rdquo; together and list ideas that would enable family members to participate in the study (e.g., &ldquo;Sam&rsquo;s dad plants trees for a landscaping company. He could help us plant a tree on the playground.&rdquo;).</li>
</ul>"
1,e,"<ul>
<li>Talk with the teacher about potential barriers to implementing the suggested &ldquo;Wow! Experiences&rdquo; in the current Teaching Guide.&nbsp; Brainstorm alternative &ldquo;Wow! Experiences&rdquo; related to the study topic. Ask, &ldquo;What could you do with the children that would meet the same objectives or extend children&rsquo;s thinking related to the study topic? Whom could you invite to the class for the children to interview?&rdquo;</li>
<li>Talk about the value of &ldquo;Wow! Experiences&rdquo; and how they can be most meaningful when the teacher takes advantage of the resources in the community.</li>
<li>Review the following Intentional Teaching Cards&trade; with the teacher:
<blockquote>SE01, &ldquo;Site Visits&rdquo; <br>SE17, &ldquo;Supporting Children to Use Their Words <br>LL45, &ldquo;Observational Drawings&rdquo; <br>LL54, &ldquo;Asking Questions&rdquo; <br>LL63, &ldquo;Investigating &amp; Recording</blockquote>
</li>
</ul>"
1,f,"<ul>
<li>Review the daily schedule with the teacher. Discuss ways to integrate study investigations and activities throughout the day.</li>
<li>Review the &ldquo;Teaching Intentionally and Responsively&rdquo; section of Volume 1. Review the strategies for supporting learning in the interest areas, during small- and large-group experiences, and during transitions. Agree on some strategies to try during investigations.</li>
<li>With the teacher, review one of the Intentional Teaching Cards&trade; that will be used in the current study. Talk about the objectives for development and learning that the activity addresses and how to use the Teaching Sequence to individualize the experience. If you sense that the teacher needs additional support, model using one of the Intentional Teaching Cards&trade;, paying particular attention to the Teaching Sequence.</li>
<li>Go over the following investigational skills that children will learn and apply throughout the study:
<blockquote>Making observational drawings <br>Asking questions <br>Interviewing <br>Counting <br>Tallying <br>Measuring <br>Graphing <br>Sorting <br>Using art and writing materials <br>Creating maps, charts, and diagrams <br>Solving problems</blockquote>
</li>
<li>Review the following Intentional Teaching Cards&trade; with the teacher:
<blockquote>LL45, &ldquo;Observational Drawings&rdquo; <br>LL55, &ldquo;Asking Questions&rdquo; <br>LL63, &ldquo;Investigating and Recording&rdquo; <br>M02, &ldquo;Counting &amp; Comparing&rdquo; <br>M05, &ldquo;Sorting &amp; Classifying&rdquo; <br>M06, &ldquo;Tallying&rdquo; <br>M11, &ldquo;Graphing&rdquo; <br>M12, &ldquo;Measure &amp; Compare&rdquo;</blockquote>
</li>
</ul>"
1,g,"<ul>
<li>Point out that the questions of the day in English and Spanish are available on MyTeachingStrategies&reg;.</li>
<li>Observe the arrival routine. Notice how the teacher interacts with the children as they answer the question of the day. Discuss your observations with the teacher.</li>
<li>Talk about when and how the teacher will discuss the question of the day with children. Review the current Teaching Guide and identify the different times of day indicated for the teacher to have the discussion.</li>
<li>Suggest that the teacher invite family members to help children answer the question of the day upon arrival.</li>
<li>Brainstorm additional questions of the day. Point out how the teacher could use these to customize an investigation or extend the study.</li>
<li>Share ideas for interactive displays where children can respond to the question of the day (e.g., magnetic boards, pocket charts, bulletin boards, tallying).</li>
<li>Model ways to discuss the findings of the question of the day and incorporate mathematical thinking (e.g., &ldquo;These children had buttons on their clothes and those did not. Let&rsquo;s count to find out how many are in each group.&rdquo;).</li>
</ul>"
1,h,"<ul>
<li>Look at the &ldquo;At-a-Glance&rdquo; charts found in the Teaching Guide that is being implemented. Review the suggestions for enhancements to the interest areas that relate to the study. Assist the teacher in locating materials if necessary.</li>
<li>Brainstorm additional study-related materials to incorporate into the interest areas. With the teacher, determine a schedule for introducing the new items. As you brainstorm together, ask, &ldquo;How will this material help children gain a deeper understanding of the topic?&rdquo; Explain the difference between materials that are more theme-related vs. those that are more appropriate for study topics (e.g., an art activity making a paper plate caterpillar vs. observing and drawing a real caterpillar during a study of trees).</li>
<li>As you observe children working in the interest areas, note whether materials are appropriate and whether  children are using them constructively. Record your observations and review them with the teacher. Suggest replacements for materials that are inappropriate.</li>
<li>Model asking children open-ended questions as they use the study-related materials.</li>
</ul>"
1,i,"<ul>
<li>Review the suggestions in the &ldquo;Closing the Study&rdquo; section in the current Teaching Guide. Brainstorm additional ideas that would highlight the questions that were answered.&nbsp;</li>
<li>Notice whether the teacher includes the children when planning the celebration.</li>
<li>Model how to have a discussion of celebration ideas with the children.</li>
<li>Encourage the teacher to ask for and record children&rsquo;s ideas for ways to celebrate their learning throughout the study.&nbsp;With the teacher, use the children&rsquo;s ideas to plan the details of the celebration.</li>
<li>Arrange for the teacher to visit a classroom during a celebration of learning event and record what she observes. Ask, &ldquo;What did you notice? Did you get any ideas for specific activities, displays, etc., that would help the children in your classroom think about and share what they&rsquo;ve learned through the study?&rdquo;</li>
<li>Discuss previous end-of-study celebrations and changes to make for future celebrations with the teacher. Ask, &ldquo;Were the children engaged? How could you tell? Were they excited about what they learned? What about the visitors? How did they share in the children&rsquo;s enthusiasm and learning?&rdquo;</li>
<li>Document children&rsquo;s involvement to share celebration ideas with other teachers.</li>
<li>Brainstorm with the teacher for ways to create an artifact based on what the children learned during the study (e.g., photo books, slide presentations, work sample collections). Ask the teacher, &ldquo;How will this artifact be created, stored, and shared with children and their families?&rdquo;<br>&nbsp;</li>
</ul>"
2,a,"<ul>
<li>Review the suggestions in the &ldquo;Closing the Study&rdquo; section in the current Teaching Guide. Brainstorm additional ideas that would highlight the questions that were answered.&nbsp;</li>
<li>Notice whether the teacher includes the children when planning the celebration.</li>
<li>Model how to have a discussion of celebration ideas with the children.</li>
<li>Encourage the teacher to ask for and record children&rsquo;s ideas for ways to celebrate their learning throughout the study.&nbsp;With the teacher, use the children&rsquo;s ideas to plan the details of the celebration.</li>
<li>Arrange for the teacher to visit a classroom during a celebration of learning event and record what she observes. Ask, &ldquo;What did you notice? Did you get any ideas for specific activities, displays, etc., that would help the children in your classroom think about and share what they&rsquo;ve learned through the study?&rdquo;</li>
<li>Discuss previous end-of-study celebrations and changes to make for future celebrations with the teacher. Ask, &ldquo;Were the children engaged? How could you tell? Were they excited about what they learned? What about the visitors? How did they share in the children&rsquo;s enthusiasm and learning?&rdquo;</li>
<li>Document children&rsquo;s involvement to share celebration ideas with other teachers.</li>
<li>Brainstorm with the teacher for ways to create an artifact based on what the children learned during the study (e.g., photo books, slide presentations, work sample collections). Ask the teacher, &ldquo;How will this artifact be created, stored, and shared with children and their families?&rdquo;<br>&nbsp;</li>
</ul>"
